婊,biǎo
婕,jié
婚,hūn
婢,bì
婧,jìng
婪,lán
婴,yīng
婵,chán
婶,shěn
婷,tíng
婺,wù
婿,xù
媒,méi
媚,mèi
媛,yuàn
媪,ǎo
媲,pì
媳,xí
媵,yìng
媸,chī
媾,gòu
嫁,jià
嫂,sǎo
嫉,jí
嫌,xián
嫒,ài
嫔,pín
嫖,piáo
嫘,léi
嫜,zhāng
嫠,lí
嫡,dí
嫣,yān
嫦,cháng
嫩,nèn
嫫,mó
嫱,qiáng
嬉,xī
嬖,bì
嬗,shàn
嬲,niǎo
嬴,yíng
嬷,mó
孀,shuāng
子,zǐ
孑,jié
孓,jué
孔,kǒng
孕,yùn
字,zì
存,cún
孙,sūn
孚,fú
孛,bó
孜,zī
孝,xiào
孟,mèng
孢,bāo
季,jì
孤,gū
孥,nú
学,xué
孩,hái
孪,luán
孬,nāo
孰,shú
孱,chán
孳,zī
孵,fū
孺,rú
孽,niè
宀,mián
宁,níng
它,tā
宄,guǐ
宅,zhái
宇,yǔ
守,shǒu
安,ān
宋,sòng
完,wán
宏,hóng
宓,mì
宕,dàng
宗,zōng
官,guān
宙,zhòu
定,dìng
宛,wǎn
宜,yí
宝,bǎo
实,shí
宠,chǒng
审,shěn
客,kè
宣,xuān
室,shì
宥,yòu
宦,huàn
宪,xiàn
宫,gōng
宰,zǎi
害,hài
宴,yàn
宵,xiāo
家,jiā
宸,chén
容,róng
宽,kuān
宾,bīn
宿,sù
寂,jì
寄,jì
寅,yín
密,mì
寇,kòu
富,fù
寐,mèi
寒,hán
寓,yù
寝,qǐn
寞,mò
察,chá
寡,guǎ
寤,wù
寥,liáo
寨,zhài
寮,liáo
寰,huán
寸,cùn
对,duì
寺,sì
寻,xún
导,dǎo
寿,shòu
封,fēng
射,shè
将,jiāng
尉,wèi
尊,zūn
小,xiǎo
少,shǎo
尔,ěr
尕,gǎ
尖,jiān
尘,chén
尚,shàng
尜,gá
尝,cháng
尢,yóu
尤,yóu
尥,liào
尧,yáo
尬,gà
就,jiù
尴,gān
尸,shī
尹,yǐn
尺,chǐ
尻,kāo
尼,ní
尽,jìn
尾,wěi
尿,niào
局,jú
屁,pì
层,céng
居,jū
屈,qū
屉,tì
届,jiè
屋,wū
屎,shǐ
屏,píng
屐,jī
屑,xiè
展,zhǎn
屙,ē
属,shǔ
屠,tú
屡,lǚ
屣,xǐ
履,lǚ
屦,jù
屮,chè
屯,tún
山,shān
屹,yì
屺,qǐ
屿,yǔ
岁,suì
岂,qǐ
岈,yá
岌,jí
岍,qiān
岐,qí
岑,cén
岔,chà
岖,qū
岗,gǎng
岘,xiàn
岙,ào
岚,lán
岛,dǎo
岜,bā
岢,kě
岣,gǒu
岩,yán
岫,xiù
岬,jiǎ
岭,lǐng
岱,dài
岳,yuè
岵,hù
岷,mín
岸,àn
岽,dōng
岿,kuī
峁,mǎo
峄,yì
峋,xún
峒,dòng
峙,zhì
峡,xiá
峤,qiáo
峥,zhēng
峦,luán
峨,é
峪,yù
峭,qiào
峰,fēng
峻,jùn
崂,láo
崃,lái
崆,kōng
崇,chóng
崎,qí
崔,cuī
崖,yá
崛,jué
崞,guō
崤,xiáo
崦,yān
崧,sōng
崩,bēng
崭,zhǎn
崮,gù
崴,wēi
崽,zǎi
崾,yǎo
嵇,jī
嵊,shèng
嵋,méi
嵌,qiàn
嵘,róng
嵛,yú
嵝,lǒu
嵩,sōng
嵫,zī
嵬,wéi
嵯,cuó
嵴,jí
嶂,zhàng
嶙,lín
嶝,dèng
嶷,nì
巅,diān
巍,wēi
巛,chuān
川,chuān
州,zhōu
巡,xún
巢,cháo
工,gōng
左,zuǒ
巧,qiǎo
巨,jù
巩,gǒng
巫,wū
差,chà
巯,qiú
己,jǐ
已,yǐ
巳,sì
巴,bā
巷,xiàng
巽,xùn
巾,jīn
币,bì
市,shì
布,bù
帅,shuài
帆,fān
师,shī
希,xī
帏,wéi
帐,zhàng
帑,tǎng
帔,pèi
帕,pà
帖,tiē
帘,lián
帙,zhì
帚,zhǒu
帛,bó
帜,zhì
帝,dì
带,dài
帧,zhēn
席,xí
帮,bāng
帱,chóu
帷,wéi
常,cháng
帻,zé
帼,guó
帽,mào
幂,mì
幄,wò
幅,fú
幌,huǎng
幔,màn
幕,mù
幛,zhàng
幞,fú
幡,fān
幢,zhuàng
干,gàn
平,píng
年,nián
并,bìng
幸,xìng
幺,yāo
幻,huàn
幼,yòu
幽,yōu
广,guǎng
庀,pǐ
庄,zhuāng
庆,qìng
庇,bì
床,chuáng
庋,guǐ
序,xù
庐,lú
庑,wǔ
库,kù
应,yìng
底,dǐ
庖,páo
店,diàn
庙,miào
庚,gēng
府,fǔ
庞,páng
废,fèi
庠,xiáng
庥,xiū
度,dù
座,zuò
庭,tíng
庳,bì
庵,ān
庶,shù
康,kāng
庸,yōng
庹,tuǒ
庾,yǔ
廉,lián
廊,láng
廑,jǐn
廒,áo
廓,kuò
廖,liào
廛,chán
廨,xiè
廪,lǐn
廴,yǐn
延,yán
廷,tíng
建,jiàn
廾,niàn
廿,niàn
开,kāi
弁,biàn
异,yì
弃,qì
弄,nòng
弈,yì
弊,bì
弋,yì
式,shì
弑,shì
弓,gōng
引,yǐn
弗,fú
弘,hóng
弛,chí
弟,dì
张,zhāng
弥,mí
弦,xián
弧,hú
弩,nǔ
弪,jìng
弭,mǐ
弯,wān
弱,ruò
弹,dàn
强,qiáng
弼,bì
彀,gòu
彐,xuě
归,guī
当,dāng
录,lù
彖,tuàn
彗,huì
彘,zhì
彝,yí
彡,shān
形,xíng
彤,tóng
彦,yàn
彩,cǎi
彪,biāo
彬,bīn
彭,péng
彰,zhāng
影,yǐng
彳,chì
彷,páng
役,yì
彻,chè
彼,bǐ
往,wǎng
征,zhēng
徂,cú
径,jìng
待,dài
徇,xùn
很,hěn
徉,yáng
徊,huái
律,lǜ
後,hòu
徐,xú
徒,tú
徕,lái
得,de
徘,pái
徙,xǐ
徜,cháng
御,yù
徨,huáng
循,xún
徭,yáo
微,wēi
徵,zhǐ
德,dé
徼,jiǎo
徽,huī
心,xīn
忄,xīn
必,bì
忆,yì
忉,dāo
忌,jì
忍,rěn
忏,chàn
忐,tǎn
忑,tè
忒,tuī
忖,cǔn
志,zhì
忘,wàng
忙,máng
忝,tiǎn
忠,zhōng
忡,chōng
忤,wǔ
忧,yōu
忪,sōng
快,kuài
忭,biàn
忮,zhì
忱,chén
念,niàn
忸,niǔ
忻,xīn
忽,hū
忾,kài
忿,fèn
怀,huái
态,tài
怂,sǒng
怃,wǔ
怄,òu
怅,chàng
怆,chuàng
怊,chāo
怍,zuò
怎,zěn
怏,yàng
怒,nù
怔,zhēng
怕,pà
怖,bù
怙,hù
怛,dá
怜,lián
思,sī
怠,dài
怡,yí
急,jí
怦,pēng
性,xìng
怨,yuàn
怩,ní
怪,guài
怫,fú
怯,qiè
怵,chù
总,zǒng
怼,duì
怿,yì
恁,nèn
恂,xún
恃,shì
恋,liàn
恍,huǎng
恐,kǒng
恒,héng
恕,shù
恙,yàng
恚,huì
恝,jiá
恢,huī
恣,zì
恤,xù
恧,nǜ
恨,hèn
恩,ēn
恪,kè
恫,dòng
恬,tián
恭,gōng
息,xī
恰,qià
恳,kěn
恶,è
恸,tòng
恹,yān
恺,kǎi
恻,cè
恼,nǎo
恽,yùn
恿,yǒng
悃,kǔn
悄,qiāo
悉,xī
悌,tì
悍,hàn
悒,yì
悔,huǐ
悖,bèi
悚,sǒng
悛,quān
悝,kuī
悟,wù
悠,yōu
患,huàn
悦,yuè
您,nín
悫,què
悬,xuán
悭,qiān
悯,mǐn
悱,fěi
悲,bēi
悴,cuì
悸,jì
悻,xìng
悼,dào
情,qíng
惆,chóu
惊,jīng
惋,wǎn
惑,huò
惕,tì
惘,wǎng
惚,hū
惜,xī
惝,chǎng
惟,wéi
惠,huì
惦,diàn
惧,jù
惨,cǎn
惩,chéng
惫,bèi
惬,qiè
惭,cán
惮,dàn
惯,guàn
惰,duò
想,xiǎng
惴,zhuì
惶,huáng
惹,rě
惺,xīng
愀,qiǎo
愁,chóu
愆,qiān
愈,yù
愉,yú
愍,mǐn
愎,bì
意,yì
愕,è
愚,yú
感,gǎn
愠,yùn
愣,lèng
愤,fèn
愦,kuì
愧,kuì
愫,sù
愿,yuàn
慈,cí
慊,qiè
慌,huāng
慎,shèn
慑,shè
慕,mù
慝,tè
慢,màn
慧,huì
慨,kǎi
慰,wèi
慵,yōng
慷,kāng
憋,biē
憎,zēng
憔,qiáo
憝,duì
憧,chōng
憨,hān
憩,qì
憬,jǐng
憷,chù
憾,hàn
懂,dǒng
懈,xiè
懊,ào
懋,mào
懑,mèn
懒,lǎn
懔,lǐn
懦,nuò
懵,měng
懿,yì
戆,gàng
戈,gē
戊,wù
戋,jiān
戌,xū
戍,shù
戎,róng
戏,xì
成,chéng
我,wǒ
戒,jiè
戕,qiāng
或,huò
戗,qiāng
战,zhàn
戚,qī
戛,jiá
戟,jǐ
戡,kān
戢,jí
戤,gài
戥,děng
截,jié
戬,jiǎn
戮,lù
戳,chuō
戴,dài
户,hù
戽,hù
戾,lì
房,fáng
所,suǒ
扁,biǎn
扃,jiōng
扇,shàn
扈,hù
扉,fēi
手,shǒu
扌,shǒu
才,cái
扎,zhā
扑,pū
扒,bā
打,dǎ
扔,rēng
托,tuō
扛,káng
扣,kòu
扦,qiān
执,zhí
扩,kuò
扪,mén
扫,sǎo
扬,yáng
扭,niǔ
扮,bàn
扯,chě
扰,rǎo
扳,bān
扶,fú
批,pī
扼,è
找,zhǎo
承,chéng
技,jì
抄,chāo
抉,jué
把,bǎ
抑,yì
抒,shū
抓,zhuā
投,tóu
抖,dǒu
抗,kàng
折,shé
抚,fǔ
抛,pāo
抟,tuán
抠,kōu
抡,lún
抢,qiǎng
护,hù
报,bào
抨,pēng
披,pī
抬,tái
抱,bào
抵,dǐ
抹,mǒ
抻,chēn
押,yā
抽,chōu
抿,mǐn
拂,fú
拄,zhǔ
担,dān
拆,chāi
拇,mǔ
拈,niān
拉,lā
拊,fǔ
拌,bàn
拍,pāi
拎,līng
拐,guǎi
拒,jù
拓,tuò
拔,bá
拖,tuō
拗,niù
拘,jū
拙,zhuō
拚,pīn
招,zhāo
拜,bài
拟,nǐ
拢,lǒng
拣,jiǎn
拥,yōng
拦,lán
拧,nǐng
拨,bō
择,zé
括,kuò
拭,shì
拮,jié
拯,zhěng
拱,gǒng
拳,quán
拴,shuān
拶,zā
拷,kǎo
拼,pīn
拽,zhuài
拾,shí
拿,ná
持,chí
挂,guà
指,zhǐ
挈,qiè
按,àn
挎,kuà
挑,tiāo
挖,wā
挚,zhì
挛,luán
挝,wō
挞,tà
挟,jiā
挠,náo
挡,dǎng
挢,jiǎo
挣,zhèng
挤,jǐ
挥,huī
挨,āi
挪,nuó
挫,cuò
振,zhèn
挲,suō
挹,yì
挺,tǐng
挽,wǎn
捂,wǔ
捃,jùn
捅,tǒng
捆,kǔn
捉,zhuō
捋,lǚ
捌,bā
捍,hàn
捎,shāo
捏,niē
捐,juān
捕,bǔ
捞,lāo
损,sǔn
捡,jiǎn
换,huàn
捣,dǎo
捧,pěng
捩,liè
捭,bǎi
据,jù
捱,ái
捶,chuí
